N,P,K,soil_moisture,temperature,humidity,ph,rainfall,label,soil_type,season
90,42,43,65.2,20.88,82.0,6.5,203,rice,loam,season_a
85,58,41,62.8,21.78,81.0,7.09,227,rice,loam,season_a
60,55,44,70.1,23.0,82.8,7.21,264,rice,loam,season_a
95,50,45,68.0,22.5,84.0,6.8,240,rice,loam,season_a
100,60,50,58.5,27.36,90.4,6.37,296,maize,loam,season_a
100,54,43,59.2,26.98,82.7,5.98,291,maize,loam,season_a
110,70,55,55.0,25.54,86.1,6.78,284,maize,loam,season_a
95,65,48,57.0,24.8,85.0,6.2,270,maize,loam,season_a
25,55,50,55.0,24.0,72.0,6.4,650,beans,loam,season_a
30,58,48,52.0,23.5,70.0,6.2,580,beans,loam,season_a
22,60,52,58.0,25.0,74.0,6.5,720,beans,loam,season_a
120,70,180,62.0,18.0,78.0,5.8,850,potato,loam,season_a
110,75,190,60.0,17.5,76.0,5.6,820,potato,loam,season_a
130,80,200,58.0,16.5,75.0,5.5,880,potato,loam,season_a
55,40,95,48.0,26.0,68.0,6.0,650,cassava,loam,season_a
60,38,88,45.0,28.0,65.0,5.9,580,cassava,loam,season_a
50,42,92,50.0,27.0,66.0,6.1,620,cassava,loam,season_a
120,35,38,72.3,26.06,71.9,7.97,280,coffee,loam,season_a
115,38,36,71.0,26.09,70.8,8.06,290,coffee,loam,season_a
118,37,39,70.6,26.55,71.3,8.02,280,coffee,loam,season_a
125,40,42,73.0,25.8,72.0,7.8,300,coffee,loam,season_a
140,45,150,65.0,20.0,80.0,5.5,1200,tea,loam,season_a
135,42,145,64.0,19.5,79.0,5.4,1150,tea,loam,season_a
150,48,160,66.0,21.0,82.0,5.6,1300,tea,loam,season_a
180,45,280,70.0,24.0,78.0,6.2,1100,banana,loam,season_a
190,42,290,68.0,23.5,76.0,6.0,1050,banana,loam,season_a
200,40,300,72.0,25.0,80.0,6.3,1200,banana,loam,season_a
70,40,45,38.0,28.0,58.0,6.8,450,sorghum,loam,season_a
75,38,42,36.0,30.0,55.0,7.0,420,sorghum,loam,season_a
80,42,48,40.0,29.0,56.0,6.9,480,sorghum,loam,season_a
60,45,100,52.0,25.0,70.0,6.3,750,sweet_potato,loam,season_a
65,42,95,50.0,24.0,68.0,6.1,720,sweet_potato,loam,season_a
55,48,105,48.0,26.5,72.0,6.4,680,sweet_potato,loam,season_a
10,10,12,45.0,25.0,65.0,6.5,80,chickpea,loam,season_a
12,15,10,42.5,28.0,60.0,7.0,75,chickpea,loam,season_a
15,12,14,48.0,26.5,62.0,6.8,90,chickpea,loam,season_a
80,42,42,68.0,29.09,70.9,8.07,269,apple,loam,season_a
76,43,43,67.5,31.07,70.1,7.96,295,apple,loam,season_a
40,60,40,52.0,24.0,75.0,6.2,150,grapes,loam,season_a
42,58,38,53.5,23.5,76.0,6.3,160,grapes,loam,season_a
45,55,42,51.0,25.0,74.0,6.25,155,grapes,loam,season_a
90,55,55,55.0,20.0,70.0,6.8,600,wheat,loam,season_a
85,58,52,53.0,18.5,68.0,6.6,550,wheat,loam,season_a
