N,P,K,soil_moisture,temperature,humidity,ph,rainfall,soil_type,season,label
164.78,46.63,39.05,42.83,28.16,71.4,6.76,378.04,volcanic,season_a,maize
98.99,70.92,68.55,67.52,26.8,67.6,6.38,669.89,volcanic,season_a,maize
152.98,55.73,45.02,75.91,21.73,57.8,5.56,1132.17,volcanic,season_a,maize
163.08,67.61,99.06,54.75,24.9,79.9,6.84,1214.6,silt,season_a,maize
77.32,49.22,52.78,45.38,20.28,58.0,5.98,960.18,loam,season_a,maize
114.94,48.15,51.48,75.2,26.06,73.3,5.74,1036.05,silt,season_a,maize
112.64,100.25,75.08,62.46,27.19,80.3,7.29,576.88,loam,season_b,maize
118.54,39.84,88.96,62.34,27.03,61.4,6.5,1162.36,volcanic,season_b,maize
102.73,50.3,68.56,51.74,25.18,81.9,6.27,622.09,clay,season_a,maize
71.09,32.39,36.89,65.51,29.05,67.7,5.24,730.67,loam,season_b,maize
184.65,85.93,36.67,67.68,26.53,71.1,5.96,964.46,clay,season_b,maize
122.43,62.32,91.32,73.08,20.71,70.0,5.75,1185.05,volcanic,season_b,maize
80.01,83.9,67.84,72.04,24.52,55.0,5.99,365.63,silt,season_a,maize
99.78,49.97,68.91,45.34,27.23,79.5,7.61,876.56,silt,season_b,maize
148.53,90.92,45.58,60.96,25.48,83.9,7.5,1057.28,loam,season_a,maize
115.45,77.36,55.89,77.26,23.16,62.4,5.24,367.2,loam,season_b,maize
72.83,77.05,39.41,44.95,17.48,64.9,6.53,670.12,loam,season_a,maize
134.55,77.95,87.18,62.65,20.42,69.2,6.28,520.59,clay,season_a,maize
119.0,62.63,81.49,67.49,32.37,58.0,6.22,688.02,clay,season_b,maize
94.22,67.1,44.13,48.99,23.48,81.2,5.51,1100.11,volcanic,season_a,maize
147.65,67.35,36.86,45.85,27.53,62.1,6.28,834.86,volcanic,season_a,maize
81.71,29.16,57.11,78.43,28.93,63.6,7.07,1082.35,clay,season_a,maize
94.03,48.63,39.39,68.2,17.89,64.4,5.46,831.15,clay,season_a,maize
183.45,40.65,46.78,63.31,26.44,62.1,5.62,1166.91,loam,season_a,maize
147.19,59.18,71.02,60.98,31.51,61.1,7.12,586.6,loam,season_a,maize
149.92,53.4,54.34,68.76,18.05,68.7,7.66,1252.83,clay,season_a,maize
130.68,43.68,56.24,44.99,20.44,63.5,6.36,885.09,volcanic,season_a,maize
154.17,68.93,96.09,42.87,30.53,62.9,7.62,1094.36,silt,season_a,maize
98.57,44.17,53.69,68.1,30.1,70.2,5.78,1261.42,loam,season_b,maize
149.34,88.71,32.17,52.81,17.62,84.4,5.53,791.37,volcanic,season_a,maize
74.11,97.04,78.75,44.84,15.98,66.1,6.65,779.23,clay,season_a,maize
110.51,96.18,99.0,40.12,21.54,75.5,6.98,702.51,volcanic,season_b,maize
191.31,46.05,40.7,72.96,18.42,67.4,5.58,1277.88,clay,season_a,maize
96.42,85.69,36.78,76.08,30.2,61.7,7.41,809.99,clay,season_a,maize
96.06,69.22,54.15,74.53,18.56,78.2,5.93,1721.67,silt,season_a,rice
150.57,42.15,81.83,73.18,32.44,63.0,5.57,1578.55,clay,season_b,rice
115.57,82.47,42.17,94.09,21.69,56.3,6.14,1736.97,clay,season_b,rice
108.27,35.23,69.46,76.39,22.78,80.4,6.72,1239.94,clay,season_a,rice
107.9,69.15,62.52,73.56,28.3,66.4,6.68,1094.99,silt,season_b,rice
113.46,75.48,50.9,74.1,29.98,73.2,5.94,1591.95,clay,season_b,rice
120.97,76.92,86.49,90.99,28.74,63.5,6.6,1974.78,clay,season_a,rice
132.03,47.22,46.04,68.71,22.45,69.3,6.86,907.17,loam,season_a,rice
135.2,54.62,55.34,72.28,28.61,81.8,6.88,2415.42,silt,season_a,rice
92.0,86.38,61.03,66.31,21.67,80.5,6.16,2394.46,silt,season_a,rice
151.32,78.16,65.23,88.86,26.07,79.9,6.33,2437.22,clay,season_b,rice
116.52,71.68,75.77,76.04,29.87,69.5,5.8,1588.4,clay,season_b,rice
97.06,50.54,82.64,67.4,19.97,66.5,5.5,1040.95,clay,season_b,rice
108.23,58.42,39.69,92.15,24.46,78.1,7.03,808.25,silt,season_b,rice
118.4,80.54,50.66,79.31,31.45,80.1,6.32,2135.48,clay,season_b,rice
118.98,46.92,59.17,78.5,28.92,78.9,6.73,2484.53,clay,season_a,rice
148.32,64.26,67.56,70.43,25.01,81.0,5.7,1254.85,loam,season_a,rice
116.85,52.46,77.62,76.07,32.28,67.6,6.83,1644.89,silt,season_a,rice
163.19,51.36,68.65,92.62,28.62,77.6,7.22,1007.33,clay,season_a,rice
101.8,58.77,42.11,95.48,25.51,62.7,6.02,1896.54,loam,season_a,rice
139.33,44.4,51.23,84.78,31.97,72.3,6.96,1468.57,clay,season_a,rice
83.37,70.98,67.33,68.17,30.71,80.5,6.47,826.91,clay,season_a,rice
109.37,56.68,53.99,82.67,23.79,80.5,6.81,967.88,clay,season_a,rice
134.43,57.01,70.85,96.0,22.8,79.2,6.32,1669.37,silt,season_b,rice
104.65,45.34,85.03,74.54,25.15,77.5,6.4,2087.51,silt,season_b,rice
119.6,51.88,59.42,78.29,22.64,63.4,6.42,2405.48,silt,season_a,rice
121.16,45.67,48.0,79.79,26.77,62.2,6.21,2093.18,clay,season_a,rice
84.84,43.96,71.05,75.52,27.41,69.2,6.32,1528.36,silt,season_a,rice
107.2,57.34,48.86,72.8,29.82,64.5,6.77,2738.82,clay,season_b,rice
93.35,73.74,47.13,85.73,30.5,72.9,7.29,2466.38,clay,season_a,rice
107.98,48.61,71.98,69.06,18.15,56.6,5.8,2723.18,silt,season_a,rice
85.66,31.91,47.58,81.73,23.25,84.0,5.72,2533.41,clay,season_b,rice
111.42,35.47,67.46,66.43,19.94,71.9,5.83,2837.99,loam,season_a,rice
129.19,76.75,44.2,83.31,25.14,68.3,7.03,2829.03,loam,season_b,rice
59.47,63.83,75.78,42.38,18.84,74.8,5.81,463.63,volcanic,season_a,beans
15.39,47.7,54.35,47.74,19.89,76.2,6.68,651.0,loam,season_a,beans
70.03,55.8,57.48,70.09,22.13,71.3,6.61,888.19,silt,season_b,beans
11.95,66.86,55.47,69.01,29.07,68.2,6.35,548.05,silt,season_a,beans
50.03,49.71,30.53,38.99,22.21,64.7,6.05,461.67,sandy,season_b,beans
55.31,62.21,34.93,55.66,22.33,63.3,7.09,641.53,loam,season_b,beans
47.41,44.72,39.69,37.92,18.12,67.3,6.39,780.35,sandy,season_a,beans
46.86,41.39,41.8,71.36,21.89,70.4,7.08,757.3,sandy,season_a,beans
18.97,50.86,55.69,54.95,22.33,56.5,6.08,482.39,sandy,season_b,beans
82.91,49.12,22.86,60.62,27.31,76.3,6.07,359.86,volcanic,season_b,beans
30.84,65.84,32.06,70.56,24.71,59.6,7.0,566.35,sandy,season_a,beans
73.3,72.28,38.11,56.78,21.65,82.7,6.41,873.01,volcanic,season_b,beans
73.56,70.41,40.78,67.43,19.65,55.1,6.79,893.68,loam,season_b,beans
46.28,49.27,42.23,64.15,21.58,83.0,6.91,925.96,sandy,season_a,beans
31.46,62.79,28.83,63.52,25.38,79.3,6.24,760.45,silt,season_b,beans
90.16,28.47,76.8,47.74,17.25,80.4,5.71,940.97,silt,season_b,beans
43.73,57.18,33.96,53.94,28.44,65.2,6.67,753.21,loam,season_a,beans
81.61,55.88,67.98,54.58,23.48,73.5,6.03,771.26,volcanic,season_b,beans
71.32,46.2,26.87,60.78,28.37,68.3,6.74,936.42,volcanic,season_a,beans
70.61,40.41,44.19,42.67,23.36,72.0,6.81,502.73,loam,season_b,beans
58.33,37.97,69.16,42.58,22.55,62.6,6.06,418.91,loam,season_b,beans
65.35,30.3,46.64,48.33,24.26,74.2,6.27,513.06,sandy,season_b,beans
84.76,66.39,31.75,50.87,21.36,63.9,6.68,425.45,volcanic,season_a,beans
15.76,66.94,62.91,71.48,27.76,77.4,6.86,885.33,sandy,season_b,beans
25.72,32.15,35.64,66.04,26.85,75.4,5.77,413.96,silt,season_b,beans
70.09,28.35,43.73,42.17,27.75,64.8,6.28,518.81,loam,season_b,beans
73.0,38.72,65.07,54.37,26.56,77.4,6.18,474.12,volcanic,season_b,beans
71.96,34.2,60.16,62.53,21.52,80.4,6.5,409.52,loam,season_a,beans
29.65,28.32,42.43,65.76,19.58,66.4,6.64,591.71,sandy,season_a,beans
8.96,72.13,53.54,72.94,18.99,56.9,6.96,940.28,silt,season_b,beans
16.88,23.81,23.34,76.42,17.47,62.0,6.46,602.84,volcanic,season_b,beans
57.55,63.05,72.2,61.69,27.81,73.5,7.16,532.27,volcanic,season_b,beans
45.11,75.95,70.47,37.69,25.67,71.3,7.23,583.42,volcanic,season_a,beans
23.2,28.24,70.05,53.04,25.34,74.3,6.57,364.84,sandy,season_b,beans
196.31,95.66,127.55,79.25,20.2,72.6,6.43,657.76,volcanic,season_a,potato
119.33,103.07,226.55,66.4,22.62,58.3,6.39,636.45,silt,season_a,potato
148.25,46.92,142.78,52.01,18.67,58.4,4.99,820.0,volcanic,season_a,potato
134.47,54.95,186.58,74.82,24.8,74.8,5.32,953.21,volcanic,season_a,potato
186.27,95.14,161.45,51.36,21.72,68.3,6.44,746.82,loam,season_a,potato
105.31,82.21,179.9,72.38,18.26,72.9,5.39,853.22,silt,season_a,potato
173.76,47.24,192.28,81.32,20.17,81.0,5.6,1129.43,sandy,season_a,potato
170.38,69.13,196.64,58.48,17.54,62.6,6.54,958.36,sandy,season_b,potato
102.07,50.95,162.1,73.51,18.17,58.9,4.98,1114.84,sandy,season_a,potato
129.73,101.9,233.52,61.67,24.89,56.5,5.29,714.96,volcanic,season_a,potato
107.96,73.97,210.28,59.78,20.09,58.4,5.36,691.17,loam,season_a,potato
150.11,84.15,192.44,48.61,17.13,77.9,6.48,763.59,sandy,season_a,potato
147.64,67.86,118.43,70.75,13.42,77.4,5.13,792.28,silt,season_a,potato
127.94,87.85,202.11,67.35,15.17,56.6,5.15,918.35,volcanic,season_a,potato
134.72,70.59,182.42,62.01,16.53,70.4,5.48,624.32,loam,season_b,potato
87.63,67.46,184.3,43.73,16.93,61.3,4.97,673.97,sandy,season_b,potato
94.32,89.33,132.38,60.83,21.63,70.0,6.33,1027.6,volcanic,season_a,potato
173.57,48.45,114.17,79.66,23.28,72.3,5.88,971.51,loam,season_b,potato
95.67,40.5,144.77,78.02,21.03,80.0,6.66,553.45,sandy,season_b,potato
134.03,69.23,121.12,77.89,22.07,61.6,6.24,604.3,loam,season_a,potato
177.67,66.26,196.38,76.1,22.79,62.1,5.13,674.42,loam,season_a,potato
102.81,94.65,169.15,75.99,22.87,68.5,6.67,896.43,silt,season_a,potato
107.61,49.96,163.3,58.14,17.15,56.7,5.76,740.04,volcanic,season_b,potato
98.88,94.24,120.9,77.68,23.21,73.5,5.76,828.37,sandy,season_a,potato
187.12,80.16,125.11,69.54,19.52,83.7,5.64,1073.9,loam,season_b,potato
140.42,56.01,140.74,62.83,18.87,70.7,5.16,776.25,volcanic,season_a,potato
131.53,65.63,181.35,75.07,21.04,57.0,5.04,953.46,volcanic,season_b,potato
165.77,86.27,228.51,81.13,17.34,72.5,4.98,741.87,volcanic,season_b,potato
150.95,106.54,142.58,59.67,23.28,79.4,6.12,1086.85,sandy,season_a,potato
140.98,40.31,142.48,84.49,17.45,78.0,5.08,1209.98,loam,season_b,potato
116.48,95.74,171.11,66.72,22.59,70.8,6.1,1121.0,silt,season_a,potato
100.17,52.02,197.77,70.39,24.72,76.6,4.76,752.3,silt,season_b,potato
152.74,93.17,210.87,53.51,16.12,84.0,6.36,1140.86,silt,season_b,potato
160.54,80.07,161.45,76.64,23.1,70.1,5.57,606.68,silt,season_b,potato
38.34,25.6,82.2,66.16,29.52,58.1,7.5,1505.68,loam,season_b,cassava
104.42,29.46,98.21,37.73,27.56,83.4,5.44,943.31,volcanic,season_a,cassava
72.1,35.2,61.23,46.04,22.19,61.7,5.72,534.94,volcanic,season_a,cassava
61.03,19.61,30.11,68.03,27.98,79.9,7.18,955.52,sandy,season_b,cassava
117.66,17.68,50.21,37.8,35.14,73.3,6.03,1320.36,sandy,season_a,cassava
44.91,27.86,79.67,54.27,21.91,80.1,6.25,1041.82,loam,season_c,cassava
88.65,52.59,51.97,28.47,25.74,72.1,5.12,1242.23,sandy,season_b,cassava
39.88,41.21,70.51,66.99,29.32,66.7,6.16,1157.38,sandy,season_c,cassava
102.95,33.37,39.9,40.99,30.87,58.1,6.49,1297.75,volcanic,season_c,cassava
62.98,30.7,82.34,64.27,31.96,84.4,6.17,542.48,loam,season_a,cassava
100.05,60.58,37.77,39.62,32.89,81.6,5.72,779.69,loam,season_a,cassava
77.53,18.5,80.22,42.56,33.96,56.4,6.7,736.93,volcanic,season_b,cassava
124.87,54.01,104.1,45.1,37.37,69.9,6.24,1611.01,volcanic,season_c,cassava
107.95,50.54,40.69,53.57,33.36,71.4,5.73,512.88,sandy,season_c,cassava
62.04,44.76,64.86,56.6,26.26,56.3,7.32,828.97,sandy,season_c,cassava
96.07,56.79,31.76,57.4,26.74,70.4,7.15,510.38,volcanic,season_c,cassava
112.36,48.26,65.7,36.99,24.52,74.4,5.85,1521.38,loam,season_a,cassava
47.84,37.68,61.02,48.05,22.12,59.1,5.86,784.69,loam,season_b,cassava
133.05,12.69,42.87,50.77,36.24,58.5,7.24,1293.81,volcanic,season_a,cassava
60.1,59.32,69.39,36.87,33.82,68.6,7.41,936.33,loam,season_b,cassava
123.39,62.58,81.68,57.29,29.25,63.7,5.67,602.71,loam,season_b,cassava
95.86,56.92,70.76,33.64,22.9,59.2,7.3,317.85,sandy,season_b,cassava
67.83,54.09,73.59,53.9,22.26,64.3,7.7,1253.89,sandy,season_b,cassava
104.98,55.0,40.33,66.44,30.65,68.5,6.77,819.64,sandy,season_c,cassava
90.11,55.42,37.95,50.12,35.39,79.9,6.32,717.94,sandy,season_b,cassava
120.34,27.26,101.14,50.66,25.24,57.4,5.37,1529.37,loam,season_c,cassava
91.6,45.31,41.7,54.91,29.88,72.4,5.3,1144.4,volcanic,season_a,cassava
119.46,43.66,98.1,29.63,19.99,74.2,6.53,1217.63,sandy,season_c,cassava
93.61,12.94,103.61,51.97,31.16,64.1,5.33,1442.58,sandy,season_c,cassava
74.65,50.86,40.46,46.35,27.83,65.2,4.97,1520.54,volcanic,season_c,cassava
136.22,31.09,61.25,61.26,28.78,58.2,5.32,456.43,volcanic,season_b,cassava
38.63,14.11,108.48,65.73,26.97,83.9,7.7,1451.41,volcanic,season_a,cassava
58.42,55.16,69.85,50.64,28.48,64.3,4.53,1641.14,sandy,season_b,cassava
133.76,23.59,57.29,30.58,28.4,81.5,6.81,957.65,sandy,season_c,cassava
199.99,46.02,227.1,75.69,25.04,66.0,5.66,1441.09,volcanic,season_a,coffee
156.17,30.21,150.69,75.17,19.96,84.7,6.12,952.04,loam,season_b,coffee
135.29,72.59,159.39,63.6,18.7,73.1,5.7,870.03,loam,season_b,coffee
180.76,67.51,153.9,54.86,26.53,59.2,6.66,1114.81,loam,season_a,coffee
160.87,50.34,151.58,67.21,22.58,69.2,5.12,1173.81,silt,season_b,coffee
159.71,63.77,186.59,72.95,17.61,69.2,6.55,1645.35,loam,season_b,coffee
181.88,54.81,83.58,72.14,23.38,80.2,5.19,1584.22,volcanic,season_a,coffee
114.13,47.26,136.81,64.98,19.25,70.1,6.02,1320.36,loam,season_a,coffee
173.87,50.87,159.89,81.95,21.8,66.3,6.54,1307.89,volcanic,season_a,coffee
156.66,60.13,224.12,74.01,25.5,62.9,5.82,1942.71,volcanic,season_b,coffee
